Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NbGoals,NbObstructions,NbObstacles,Mean,Error,StdDev,Median
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10,35.801 us,1.4508 us,4.2777 us,35.882 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10,69.434 us,0.3931 us,0.3485 us,69.380 us
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10,3.654 us,0.0070 us,0.0065 us,3.654 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,100,443.511 us,1.6486 us,1.4614 us,443.051 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,100,845.454 us,1.5620 us,1.3846 us,845.612 us
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,100,26.827 us,0.0607 us,0.0568 us,26.830 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,1000,"34,762.113 us",87.0031 us,81.3828 us,"34,716.778 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,1000,"85,092.931 us",203.1771 us,190.0520 us,"85,099.288 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,1000,298.534 us,1.5540 us,1.4536 us,298.034 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10000,"3,426,715.260 us","10,200.2632 us","9,541.3316 us","3,424,200.003 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10000,"13,243,373.829 us","1,731,770.5363 us","1,778,400.6727 us","12,300,876.353 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10000,"3,403.930 us",67.6211 us,136.5980 us,"3,363.580 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,100,456.045 us,2.7158 us,2.5404 us,455.656 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,100,821.463 us,16.3093 us,21.2067 us,811.616 us
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,100,27.272 us,0.0796 us,0.0706 us,27.287 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,1000,"34,887.054 us",168.5884 us,149.4492 us,"34,879.415 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,1000,"84,341.162 us",978.6190 us,915.4008 us,"84,199.303 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,1000,296.583 us,1.8414 us,1.7224 us,296.618 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10000,"3,419,830.209 us","4,214.1644 us","3,519.0178 us","3,420,166.916 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10000,"12,432,859.625 us","67,000.6895 us","62,672.4804 us","12,424,552.593 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10000,"3,293.144 us",17.9898 us,16.8277 us,"3,297.361 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,10,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,10,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,10,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,100,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,100,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,100,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,1000,"34,947.358 us",108.0351 us,101.0561 us,"34,888.891 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,1000,"82,382.093 us",94.9432 us,79.2819 us,"82,395.996 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,1000,294.047 us,1.1858 us,1.1092 us,294.039 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,10000,"3,414,416.407 us","7,059.4102 us","6,603.3760 us","3,413,069.860 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,10000,"12,637,240.975 us","50,413.9116 us","47,157.1996 us","12,644,652.278 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,10000,"3,320.339 us",26.4790 us,24.7685 us,"3,319.467 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,10,476.578 us,3.1168 us,2.7630 us,476.376 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,10,326.087 us,1.6730 us,1.5649 us,325.453 us
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,10,3.186 us,0.0078 us,0.0073 us,3.182 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,100,904.627 us,3.4826 us,3.0872 us,904.444 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,100,"1,375.396 us",13.1204 us,12.2728 us,"1,379.426 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,100,27.348 us,0.0708 us,0.0663 us,27.357 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,1000,"35,489.620 us",35.0872 us,29.2994 us,"35,484.959 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,1000,"84,655.621 us",121.3958 us,113.5537 us,"84,606.718 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,1000,298.844 us,0.6321 us,0.5278 us,298.824 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,10000,"3,453,109.848 us","7,020.4477 us","6,566.9305 us","3,452,216.057 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,10000,"12,688,612.418 us","56,369.2020 us","52,727.7813 us","12,706,117.754 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,10,10000,"3,408.428 us",13.0522 us,11.5704 us,"3,410.831 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,10,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,10,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,10,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,100,936.818 us,3.4869 us,3.0910 us,937.152 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,100,"1,359.688 us",12.0540 us,11.2753 us,"1,356.516 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,100,28.880 us,0.0928 us,0.0868 us,28.842 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,1000,"34,789.895 us",106.0603 us,99.2088 us,"34,741.775 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,1000,"82,264.532 us",172.6327 us,161.4807 us,"82,263.704 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,1000,305.440 us,1.1691 us,1.0936 us,305.566 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,10000,"3,414,812.420 us","5,411.5313 us","5,061.9492 us","3,415,725.284 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,10000,"16,437,369.703 us","106,643.3393 us","89,052.0097 us","16,422,659.878 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,100,10000,"5,590.368 us",77.6352 us,86.2913 us,"5,577.382 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,100,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,100,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,100,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,1000,"57,277.938 us",35.6871 us,29.8003 us,"57,265.319 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,1000,"126,066.906 us","2,481.5237 us","4,660.9030 us","126,120.001 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,1000,511.642 us,3.5005 us,3.5947 us,510.455 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10000,"4,087,963.040 us","306,911.1696 us","904,934.5081 us","3,421,552.676 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10000,"12,224,501.577 us","13,193.6280 us","11,017.2758 us","12,225,048.789 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,100,1000,10000,"3,264.195 us",16.5606 us,15.4908 us,"3,262.874 us"
