Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NbGoals,NbObstructions,NbObstacles,Mean,Error,StdDev
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,10,62.946 us,84.029 us,21.8263 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,10,83.435 us,36.859 us,9.5739 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,10,7.658 us,4.949 us,1.2855 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,100,739.873 us,293.775 us,76.3070 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,100,"1,170.421 us",461.156 us,119.7837 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,100,44.660 us,46.521 us,12.0835 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,1000,"56,841.872 us","5,401.426 us","1,403.0002 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,1000,"82,884.802 us","7,008.337 us","1,820.3895 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,1000,363.115 us,161.485 us,41.9452 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,10000,"5,534,026.144 us","663,673.845 us","172,386.8121 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,10000,"9,000,231.151 us","46,045.132 us","11,960.0516 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,10,10000,"4,312.448 us",593.954 us,154.2774 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,10,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,10,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,10,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,100,692.950 us,461.597 us,119.8980 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,100,"1,439.577 us",275.802 us,71.6386 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,100,48.965 us,98.178 us,25.5015 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,1000,"56,426.655 us","2,078.145 us",539.7905 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,1000,"82,463.232 us","4,727.543 us","1,227.9617 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,1000,375.030 us,343.889 us,89.3238 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,10000,"6,523,983.940 us","53,069.855 us","13,784.6974 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,10000,"13,375,554.326 us","2,424,731.078 us","629,814.8766 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,100,10000,"4,216.042 us",587.866 us,152.6960 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,10,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,10,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,10,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,100,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,100,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,100,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,1000,"57,170.238 us","4,641.589 us","1,205.6355 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,1000,"84,207.371 us","13,774.895 us","3,577.9777 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,1000,345.006 us,7.364 us,1.9129 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,10000,"5,451,294.266 us","40,613.116 us","10,549.1058 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,10000,"11,835,374.141 us","182,402.812 us","47,378.4518 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,10,1000,10000,"4,519.143 us",382.064 us,99.2397 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,10,866.752 us,459.207 us,119.2772 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,10,507.875 us,130.616 us,33.9270 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,10,6.629 us,6.925 us,1.7988 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,100,"1,448.816 us",439.203 us,114.0813 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,100,"1,785.518 us",435.436 us,113.1028 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,100,46.733 us,60.118 us,15.6154 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,1000,"57,380.709 us","2,620.273 us",680.6061 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,1000,"84,349.079 us","2,303.690 us",598.3750 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,1000,398.979 us,281.999 us,73.2481 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,10000,"5,546,687.169 us","548,984.052 us","142,596.5652 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,10000,"12,912,037.944 us","4,332,669.247 us","1,125,394.7177 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,10,10000,"4,369.428 us",290.163 us,75.3687 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,10,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,10,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,10,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,100,"1,413.200 us",42.335 us,10.9965 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,100,"2,107.959 us",759.666 us,197.3204 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,100,46.714 us,29.447 us,7.6487 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,1000,"56,200.776 us","2,426.040 us",630.1549 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,1000,"81,677.225 us","3,225.438 us",837.7955 us
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,1000,447.259 us,362.820 us,94.2412 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,10000,"5,449,696.765 us","187,686.661 us","48,750.9119 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,10000,"12,032,509.864 us","2,565,639.241 us","666,415.2475 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,100,10000,"4,480.841 us",358.731 us,93.1790 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,100,NA,NA,NA
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,100,NA,NA,NA
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,100,NA,NA,NA
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,1000,"55,345.781 us","1,976.750 us",513.4536 us
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,1000,"82,724.756 us","4,943.725 us","1,284.1143 us"
BDDBasedComputationPrebuilt,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,1000,393.397 us,330.207 us,85.7701 us
PatternBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10000,"5,360,725.956 us","66,681.502 us","17,320.2719 us"
BDDBasedComputation,QuickJob,False,Default,Default,Default,Default,Default,Default,0,Llvm,X64,Mono,False,True,False,True,False,False,Default,Default,Default,16,Default,1,Default,5,16,3,100,1000,10000,"11,785,863.093 us","353,883.531 us","91,919.9305 us"
